Participant,participant&question,question,answer,processed_questions,processed_answers,Overall,Excited
p1,p1q1,So how are you doing?,Im pretty good.,doing?,im pretti good.,5.297315623,5.043890154
p1,p1q2,Ok well  so please tell me about yourself.,ok  uhm  so have you looked at my resume or should I  alright  so I guess ah  I am course 6-7 here at M.I.T  ah which is computational biology  so its a mix of computers  science and biology and actually thats where my interest lie in applying like algorithmic kinda software engineering too datasets dealing with genomics and biology.  Uhm some of that activities that you do out side of school  include Camp Kesem which is a summer camp that we run for completely free for kids whose parents have cancer  as well as ah amphibious achievement  which is ah a high school tutoring program for inner city kids in Boston,ok well pleas tell yourself.,ok uhm look resum alright guess ah cours 6-7 m.i.t ah comput biolog mix comput scienc biolog actual that interest lie appli like algorithm kinda softwar engin dataset deal genom biology. uhm activ side school includ camp kesem summer camp run complet free kid whose parent cancer well ah amphibi achiev ah high school tutor program inner citi kid boston,5.297315623,5.043890154
p1,p1q3,mhhmm,So ah  my interest kinda laid both in a little bit of the health care  I imagined I was going be a Doctor growing up  and then it came down to the tee and Im like  well I can do engineering and still apply and do the same things and help a lot more people.,mhhmm,ah interest kinda laid littl bit health care imagin go doctor grow came tee im like well engin still appli thing help lot people.,5.297315623,5.043890154
p1,p1q4,So please tell me about a time that you demonstrated leadership.,Ok  uhm  one of the things we have to do for Camp Kesem is orgin or fundraise all the money to ah  to  run the camp which is over $50 000.00.  Ah so one of the things that I individually spearhead every year is called the Camp Kesem I say you did auction  where actually my fraternity and I go out and solicit uhm  donations in the form of gift cards  ah to raise money for a date auction where we actually sell dates  and then we use this money obviously we donate it to Camp Kesem. I spearhead the entire event and I kinda orginize everyone into committees and groups  and I send the people out and make sure everything goes according to plan.,pleas tell time demonstr leadership.,ok uhm one thing camp kesem orgin fundrais money ah run camp $50 000.00. ah one thing individu spearhead everi year call camp kesem say auction actual fratern go solicit uhm donat form gift card ah rais money date auction actual sell date use money obvious donat camp kesem. spearhead entir event kinda orgin everyon committe group send peopl make sure everyth goe accord plan.,5.297315623,5.043890154
p1,p1q5,Tell me about a time when your working on a team and faced with a challenge  how did you solve that problem?,Ahh  I guess the easiest team project I just I just had  was  last semester  uhm I worked on this six double o five project which is algorithm or software architecture.,tell time work team face challeng solv problem?,ahh guess easiest team project last semest uhm work six doubl five project algorithm softwar architecture.,5.297315623,5.043890154
p1,p1q6,uh hun.,and we were put in a group of 3 people  and it was standard you know we signed the contract everyone is supposed to work equally  but it ended up being by the end of it  that someone didn't like put there fair share of work in...Ah essentially we talked to him we didn't really get it out  we actually had to go to some of the T.A's we got a little bit ah  and that kinda like pushed him forward  so I mean I guess what I am showing is like  Im not affraid to go to the right method or like authority like where in cases this situation presents itself.,uh hun.,put group 3 peopl standard know sign contract everyon suppos work equal end end someon like put fair share work in...ah essenti talk realli get actual go t.a' got littl bit ah kinda like push forward mean guess show like im affraid go right method like author like case situat present itself.,5.297315623,5.043890154
p1,p1q7,Oh yes.  Alright tell me about one of your weaknesses and how you plan to overcome it.,Uhmmm.  I would say for this job  ah Im a little technically underprepared.  Ah I've yet  I have only taken the introductory software classes so far and as well as introductory bio classes  but I think just from sheer interest and sheer effort i will be able to kinda overcome these obstacles.,oh yes. alright tell one weak plan overcom it.,uhmmm. would say job ah im littl technic underprepared. ah i'v yet taken introductori softwar class far well introductori bio class think sheer interest sheer effort abl kinda overcom obstacles.,5.297315623,5.043890154
p1,p1q8,Now why do you think we should hire you?,Ah  Im very interested  in the subject of computation biology  and I think that I will be able to contribute a lot to this field  uhm I've had a good amount of experience and I think I will be a solid intern.,think hire you?,ah im interest subject comput biolog think abl contribut lot field uhm i'v good amount experi think solid intern.,5.297315623,5.043890154
p10,p10q1,So  how you doing?,Great  how about you?,doing?,great you?,4.725115255,4.383946889
p10,p10q2,I'm okay.,I'm a little [???] by the resurgence of the hurricane  but..,i'm okay.,i'm littl [???] resurg hurrican but..,4.725115255,4.383946889
p10,p10q3,I understand  I got to get home later too and I'm worried.,Yeah  we were half way here and it just turned on a switch  lightening  winds and everything.,understand got get home later i'm worried.,yeah half way turn switch lighten wind everything.,4.725115255,4.383946889
p10,p10q4,Oh wow.,So yeah.,oh wow.,yeah.,4.725115255,4.383946889
p10,p10q5,So  uh  tell me about yourself.,Okay  um  I'm a Junior here at MIT  um  I'm studying aerospace engineering  um  my  my interests are generally in food mechanics  control  um  design  um  mostly aircraft  but protozoan [???] problems in general. Um  I like to  um  I like to play music  listen to music  um  I run  do some other team sports  I like to play hockey.,uh tell yourself.,okay um i'm junior mit um i'm studi aerospac engin um interest gener food mechan control um design um mostli aircraft protozoan [???] problem general. um like um like play music listen music um run team sport like play hockey.,4.725115255,4.383946889
p10,p10q6,Tell me about a time when you demonstrated leadership.,Um  okay  so  uh  one of the projects that I've worked on since coming to MIT  um  was during my Freshman year  I worked in the  in the uh  Artificial Intelligence group in  uh  Cesil [sp]  which is a lab  a computer science lab here at MIT.,tell time demonstr leadership.,um okay uh one project i'v work sinc come mit um freshman year work uh artifici intellig group uh cesil [sp] lab comput scienc lab mit.,4.725115255,4.383946889
